player_id,player_name,team,season,proj_targets,proj_rec_yards,proj_rec_td,proj_carries,proj_rush_yards,proj_rush_td,target_share,carry_share
00-0024243,M.Lewis,GB,2021,2.3731212915273643,6.60787203371212,0.0,0.0,0.0,0.0,0.037037037037037035,0.0
00-0024243,M.Lewis,GB,2022,1.0410331384015594,8.523458820662768,0.06506457115009746,0.0,0.0,0.0,0.05263157894736842,0.0
00-0024243,M.Lewis,CHI,2023,1.0194357366771158,5.097178683385579,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
00-0024243,M.Lewis,CHI,2024,1.0,2.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0
00-0024389,De.Walker,TEN,2019,3.8069036226930963,18.532218329915697,0.0793104921394395,0.0,0.0,0.0,0.1875,0.0
00-0024417,S.Koch,BAL,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0024417,S.Koch,BAL,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0024417,S.Koch,BAL,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0025394,A.Peterson,WAS,2019,1.6516516516516517,14.454001731223412,0.008435681775525526,17.044955044955046,57.84288347160124,1.02317852732704,0.11428571428571428,0.65
00-0025394,A.Peterson,DET,2020,0.3070175438596491,2.713194462290981,0.009595047800164472,4.785185185185185,13.725185862766429,0.05758450389309763,0.0,0.3181818181818182
00-0025394,A.Peterson,SEA,2021,1.32558702493343,2.65117404986686,0.0,9.070910698496906,30.872592592592596,0.22677276746242267,0.0,0.4074074074074074
00-0025396,T.Ginn,NO,2019,1.3931230965713721,6.739059681473754,0.0028910025197403963,0.0,0.0,0.0,0.06060606060606061,0.0
00-0025396,T.Ginn,CHI,2020,1.891298185941043,9.141274565381707,0.0,0.0,0.0,0.0,0.047619047619047616,0.0
00-0025399,M.Lynch,SEA,2019,1.7327586206896552,13.717672413793105,0.03465517241379311,8.830769230769231,17.661538461538463,1.103846153846154,0.0,0.5
00-0025418,G.Olsen,CAR,2019,5.298345791805094,37.78873567237016,0.0007391665446156659,0.0,0.0,0.0,0.12244897959183673,0.0
00-0025418,G.Olsen,SEA,2020,2.984744268077601,24.458968816596848,0.0014573946621472661,0.0,0.0,0.0,0.06896551724137931,0.0
00-0025708,M.Moore,KC,2019,0.0,0.0,0.0,0.628927203065134,0.5031417624521073,0.004716954022988505,0.0,0.034482758620689655
00-0025825,B.Kern,TEN,2019,0.0,0.0,0.0,0.4126984126984127,1.3,0.009285714285714284,0.0,0.0
00-0025825,B.Kern,TEN,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0026035,D.Amendola,DET,2019,7.433534966502877,49.763586532458376,6.98010720262064e-05,0.0,0.0,0.0,0.13793103448275862,0.0
