player_id,player_name,team,season,proj_target_share_next,proj_carry_share_next,targets,rush_att,team_targets,team_carries
00-0025418,G.Olsen,SEA,2020,0.08778659611992945,0.0,2.0,0.0,29.0,24.0
00-0025708,M.Moore,KC,2019,0.0,0.028160919540229885,0.0,1.0,30.0,29.0
00-0025825,B.Kern,TEN,2019,0.0,0.015873015873015872,0.0,0.0,32.0,23.0
00-0025825,B.Kern,TEN,2020,0.0,0.0,0.0,0.0,30.0,23.0
00-0026035,D.Amendola,DET,2019,0.21442889326450607,0.0,4.0,0.0,29.0,25.0
00-0026035,D.Amendola,DET,2020,0.17521732258574363,0.0,2.0,0.0,31.0,22.0
00-0026035,D.Amendola,HOU,2021,0.13692865105908583,0.0,9.0,0.0,32.0,21.0
00-0026143,M.Ryan,ATL,2019,0.0,0.1431327160493827,0.0,2.0,48.0,30.0
00-0026143,M.Ryan,ATL,2020,0.0,0.05680044593088072,0.0,3.0,41.0,26.0
00-0026143,M.Ryan,ATL,2021,0.0,0.1768408724930464,0.0,1.0,31.0,12.0
00-0026143,M.Ryan,IND,2022,0.0,0.0994871794871795,0.0,3.0,31.0,43.0
00-0026158,J.Flacco,DEN,2019,0.0,0.07569444444444444,0.0,1.0,29.0,28.0
00-0026158,J.Flacco,NYJ,2020,0.0,0.06277056277056277,0.0,1.0,28.0,24.0
00-0026158,J.Flacco,NYJ,2021,0.0,0.0,0.0,2.0,35.0,18.0
00-0026158,J.Flacco,NYJ,2022,0.0,0.03333333333333333,0.0,0.0,32.0,20.0
00-0026158,J.Flacco,CLE,2023,0.0,0.06455026455026454,0.0,3.0,43.0,20.0
00-0026158,J.Flacco,IND,2024,0.0,0.045188729399255716,0.0,0.0,39.0,34.0
00-0026189,D.Jackson,PHI,2019,0.23076923076923078,0.0,1.0,0.0,39.0,35.0
00-0026189,D.Jackson,PHI,2020,0.14412416851441243,0.012820512820512822,1.0,0.0,34.0,29.0
00-0026189,D.Jackson,LV,2021,0.12569444444444444,0.0,2.0,0.0,49.0,14.0
00-0026189,D.Jackson,BAL,2022,0.11659663865546217,0.0,2.0,0.0,20.0,28.0
00-0026197,C.Henne,KC,2020,0.0,0.11648841354723709,0.0,2.0,37.0,24.0
00-0026197,C.Henne,KC,2021,0.0,0.08564102564102564,0.0,2.0,29.0,35.0
00-0026197,C.Henne,KC,2022,0.0,0.10714285714285714,0.0,1.0,35.0,30.0
00-0026293,M.Slater,NE,2019,0.0,0.0,0.0,0.0,34.0,23.0
00-0026300,J.Johnson,BAL,2021,0.0,0.06349206349206349,0.0,5.0,37.0,16.0
00-0026300,J.Johnson,SF,2022,0.0,0.05555555555555555,0.0,2.0,15.0,24.0
00-0026300,J.Johnson,BAL,2024,0.0,0.04016445287792537,0.0,0.0,16.0,43.0
00-0026498,M.Stafford,DET,2019,0.0,0.07666666666666666,0.0,3.0,41.0,19.0
00-0026498,M.Stafford,DET,2020,0.0,0.046913580246913576,0.0,2.0,31.0,22.0
00-0026498,M.Stafford,LA,2021,0.0,0.15454728775962892,1.0,3.0,40.0,23.0
00-0026498,M.Stafford,LA,2022,0.0,0.08251231527093596,0.0,1.0,27.0,30.0
00-0026498,M.Stafford,LA,2023,0.0,0.033918429298864086,0.0,0.0,34.0,17.0
00-0026498,M.Stafford,LA,2024,0.0,0.15347018572825025,0.0,2.0,44.0,21.0
00-0026544,C.Daniel,CHI,2019,0.0,0.1051693404634581,0.0,0.0,45.0,24.0
00-0026544,C.Daniel,DET,2020,0.0,0.024691358024691357,0.0,0.0,30.0,15.0
00-0026544,C.Daniel,LAC,2021,0.0,0.05405405405405406,0.0,2.0,30.0,37.0
00-0026544,C.Daniel,LAC,2022,0.0,0.0,0.0,1.0,44.0,22.0
00-0026625,B.Hoyer,IND,2019,0.0,0.05300127713920818,0.0,3.0,24.0,32.0
00-0026625,B.Hoyer,NE,2020,0.0,0.02857142857142857,0.0,1.0,35.0,35.0
00-0026625,B.Hoyer,NE,2021,0.0,0.05913775766716944,0.0,2.0,33.0,36.0
00-0026625,B.Hoyer,NE,2022,0.0,0.0,0.0,0.0,20.0,33.0
00-0026625,B.Hoyer,LV,2023,0.0,0.09090909090909091,0.0,0.0,45.0,14.0
